depth_nm,E_C_eV,E_V_eV,n_cm-3,p_cm-3,rho_C_cm-3,phi_V
842.9017,-4.34000,-6.24000,1.0000e+18,-1.3133e+12,-1.8133e-06,0.24000
843.5199,-4.34000,-6.24000,1.0000e+18,-8.9046e+11,-1.2025e-06,0.24000
843.9696,-4.34000,-6.24000,1.0000e+18,-6.0170e+11,-8.1079e-07,0.24000
844.2925,-4.34000,-6.24000,1.0000e+18,-4.0419e+11,-5.4570e-07,0.24000
844.5221,-4.34000,-6.24000,1.0000e+18,-2.6872e+11,-3.4237e-07,0.24000
844.6842,-4.34000,-6.24000,1.0000e+18,-1.7553e+11,-2.6267e-07,0.24000
844.7982,-4.34000,-6.24000,1.0000e+18,-1.1126e+11,-1.6162e-07,0.24000
844.8781,-4.34000,-6.24000,1.0000e+18,-6.6844e+10,-9.2502e-08,0.24000
844.9339,-4.34000,-6.24000,1.0000e+18,-3.6094e+10,-4.8504e-08,0.24000
844.9729,-4.34000,-6.24000,1.0000e+18,-1.4783e+10,-2.0908e-08,0.24000
845.0000,-4.34000,-6.24000,1.0000e+18,7.7194e-11,0.0000e+00,0.24000
