# AM1.5G global tilt photon flux derived from ASTM G-173-03 reference spectrum.
# Source: pvlib.spectrum.get_reference_spectra() (NREL ASTM G-173 mirror).
# Column 1: wavelength [nm].  Column 2: photon flux [photons/m^2/s/m].
# Conversion: Phi(lam) = E(lam) [W/m^2/nm] * 1e9 [nm/m] * lam [m] / (h*c).
# Range: 280-1500 nm at native ASTM sampling.
# wavelength_nm,spectral_flux_m-2_s-1_m-1
4.880000e+02,3.786433e+27
4.890000e+02,3.574118e+27
4.900000e+02,4.002002e+27
4.910000e+02,3.854696e+27
4.920000e+02,3.682732e+27
4.930000e+02,3.946837e+27
4.940000e+02,3.860840e+27
4.950000e+02,4.107877e+27
4.960000e+02,3.914175e+27
4.970000e+02,3.989119e+27
4.980000e+02,3.888091e+27
4.990000e+02,3.895396e+27
5.000000e+02,3.889107e+27
5.010000e+02,3.777590e+27
5.020000e+02,3.782098e+27
5.030000e+02,3.963591e+27
5.040000e+02,3.701006e+27
5.050000e+02,3.974775e+27
5.060000e+02,4.142869e+27
5.070000e+02,3.971374e+27
5.080000e+02,3.878193e+27
5.090000e+02,4.072367e+27
5.100000e+02,3.974591e+27
5.110000e+02,4.056470e+27
5.120000e+02,4.171889e+27
5.130000e+02,3.926952e+27
5.140000e+02,3.851547e+27
5.150000e+02,3.970262e+27
5.160000e+02,4.014597e+27
5.170000e+02,3.277763e+27
5.180000e+02,3.755831e+27
5.190000e+02,3.646554e+27
5.200000e+02,3.988390e+27
5.210000e+02,4.024910e+27
5.220000e+02,4.123032e+27
5.230000e+02,3.893711e+27
5.240000e+02,4.195543e+27
5.250000e+02,4.170778e+27
5.260000e+02,4.062213e+27
5.270000e+02,3.559503e+27
5.280000e+02,4.081911e+27
5.290000e+02,4.279784e+27
5.300000e+02,4.121119e+27
5.310000e+02,4.355040e+27
5.320000e+02,4.284504e+27
5.330000e+02,3.833197e+27
5.340000e+02,4.113512e+27
5.350000e+02,4.183968e+27
5.360000e+02,4.370954e+27
5.370000e+02,4.052007e+27
5.380000e+02,4.262409e+27
5.390000e+02,4.165595e+27
5.400000e+02,4.030062e+27
5.410000e+02,3.881199e+27
5.420000e+02,4.232163e+27
5.430000e+02,4.170266e+27
5.440000e+02,4.324733e+27
5.450000e+02,4.234737e+27
5.460000e+02,4.202927e+27
5.470000e+02,4.265422e+27
5.480000e+02,4.151561e+27
5.490000e+02,4.289309e+27
5.500000e+02,4.263620e+27
5.510000e+02,4.266656e+27
5.520000e+02,4.361933e+27
5.530000e+02,4.245396e+27
5.540000e+02,4.336462e+27
5.550000e+02,4.368038e+27
